,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
885,2540,39035161200,Census Tract 1612  Cuyahoga County  Ohio,41.477486,-81.8027618,2.0276993920976407
886,2722,39035123502,Census Tract 1235.02  Cuyahoga County  Ohio,41.4572567,-81.79576479999999,2.0305719716814066
887,1741,39035160300,Census Tract 1603  Cuyahoga County  Ohio,41.4896265,-81.8091705,2.0315421918202357
888,5718,39153510301,Census Tract 5103.01  Summit County  Ohio,41.001403700000004,-81.5966353,2.0335112761624927
889,3808,39013011300,Census Tract 113  Belmont County  Ohio,39.96854129999999,-80.7736943,2.0357243428208984
890,6190,39035175104,Census Tract 1751.04  Cuyahoga County  Ohio,41.3324716,-81.7468582,2.036773678820857
891,2028,39035178205,Census Tract 1782.05  Cuyahoga County  Ohio,41.3826364,-81.7684993,2.0384918038088946
892,3713,39035161100,Census Tract 1611  Cuyahoga County  Ohio,41.4775854,-81.8084302,2.0417327870816493
893,2582,39035124201,Census Tract 1242.01  Cuyahoga County  Ohio,41.4449878,-81.79645450000001,2.044547387632277
894,2468,39035123100,Census Tract 1231  Cuyahoga County  Ohio,41.4655048,-81.80621909999999,2.0482928954595963
895,2886,39153510100,Census Tract 5101  Summit County  Ohio,41.016124299999994,-81.61200140000001,2.050916653653191
896,8047,39153533501,Census Tract 5335.01  Summit County  Ohio,41.1247862,-81.66260890000001,2.0513988507204295
897,2336,39035160200,Census Tract 1602  Cuyahoga County  Ohio,41.4877825,-81.81642109999999,2.0515682285159738
898,1769,39035161000,Census Tract 1610  Cuyahoga County  Ohio,41.48141939999999,-81.8141811,2.052302947268017
899,2782,39035178101,Census Tract 1781.01  Cuyahoga County  Ohio,41.3880719,-81.77667629999999,2.052903874726071
900,2047,39035177604,Census Tract 1776.04  Cuyahoga County  Ohio,41.367600700000004,-81.7682848,2.0530086600334467
901,3282,39157020300,Census Tract 203  Tuscarawas County  Ohio,40.628744399999995,-81.4098493,2.0534153902189036
902,6059,39013012200,Census Tract 122  Belmont County  Ohio,40.0380398,-80.9247267,2.0538984896644843
903,2729,39151713600,Census Tract 7136  Stark County  Ohio,40.812250799999994,-81.51203220000001,2.054241781582461
904,3767,39013010600,Census Tract 106  Belmont County  Ohio,40.139103999999996,-81.04481650000001,2.055104108350263
905,2872,39035178206,Census Tract 1782.06  Cuyahoga County  Ohio,41.3753129,-81.7725548,2.055642275485432
906,4459,39153531702,Census Tract 5317.02  Summit County  Ohio,40.945779200000004,-81.5817439,2.0584528327284204
907,1736,39035124202,Census Tract 1242.02  Cuyahoga County  Ohio,41.4360597,-81.80011390000001,2.062545809674445
908,4436,39151711412,Census Tract 7114.12  Stark County  Ohio,40.8281257,-81.5253123,2.0638568715236825
909,3745,39151714400,Census Tract 7144  Stark County  Ohio,40.7720697,-81.49772540000001,2.067356911088372
910,1899,39035160100,Census Tract 1601  Cuyahoga County  Ohio,41.4919218,-81.82505959999999,2.069228603960934
911,7162,39151711211,Census Tract 7112.11  Stark County  Ohio,40.900774600000005,-81.5663859,2.0722776549160065
912,2867,39151715000,Census Tract 7150  Stark County  Ohio,40.797411600000004,-81.5145184,2.0738261891457572
913,3912,39035160900,Census Tract 1609  Cuyahoga County  Ohio,41.4729942,-81.82063690000001,2.0769766599068378
914,934,39035160800,Census Tract 1608  Cuyahoga County  Ohio,41.480835,-81.8237503,2.077001725526494
915,3273,39035123603,Census Tract 1236.03  Cuyahoga County  Ohio,41.448293799999995,-81.8110586,2.077599478974756
916,2338,39151713700,Census Tract 7137  Stark County  Ohio,40.805800700000006,-81.52117390000001,2.0782007428224203
917,2684,39035177605,Census Tract 1776.05  Cuyahoga County  Ohio,41.3565719,-81.7744172,2.0789071195814484
918,4043,39035138109,Census Tract 1381.09  Cuyahoga County  Ohio,41.408739700000005,-81.7960869,2.0798858212168216
